,URLS,Text
29,https://i.pinimg.com/originals/67/b8/f7/67b8f788183a45a603ab6bcd3392e2a7.jpg,ये भी अच्छा है किहम किसी को अच्छे नहीं लगतेचलो कोईतो नहींहमारे मरने के बादBYPR!=@NS#रोएगा
30,https://i.pinimg.com/originals/5c/cc/9e/5ccc9e8e1f017be82fa0d7b384869d1b.jpg,"उस मक़ाम मेंआ गई है ज़िन्दगीजहां कुछ चीज़े पसंद तो है,पर चाहिये कुछ नहीं !!!"
31,https://i.pinimg.com/originals/46/b3/32/46b3323a2c31ba13b6973b907c63860b.jpg,"एक सूनवा पेड अकेला खडा़ है आंगन में ,कौन कहता हैे सिर्फ बच्चे अनाथ होते हे"
32,https://i.pinimg.com/originals/b6/8d/fc/b68dfc50371594434c2db6923e95ee58.jpg,वक़्त भी कैसी येपहेली दे गया...उलझनें सौ और जानअकेली दे गया....
33,https://i.pinimg.com/originals/0e/42/34/0e423487a7b145ce3738541b660d40c9.jpg,"हर इंसान की दो कहानिया होती है,एक वो जो वो सबको सुनता है औरदूसरी वो जो सबसे छुपाता है.मेरी डायरी"
34,https://i.pinimg.com/originals/5d/69/00/5d6900c40e8c4580d0c09396a719850d.jpg,"उसी की हसरत हैजिसे दिल से..मिटा भी न सकूं ;ढूँढ़ने उसी को चला हूँ ,जिसे कभी॰.पाभी न सकूं.! !"
35,https://i.pinimg.com/originals/30/10/2f/30102fffcabd11e1fc1d7969b4b5a56d.jpg,बहुत कोशिश की मैंनेउसको समझाने कीफिर इक रोज़ मैंनेख़ुद को समझा लिया
36,https://i.pinimg.com/originals/ae/ad/9b/aead9b7de15093f468140af259f4df6f.jpg,बोझ थोड़ी होती हैं.मोहच्बतजनाव ;लेकिन झुका अच्छे अच्छों को देती हैं
37,https://i.pinimg.com/originals/d8/0d/74/d80d7492014e766609373ba650b2452a.jpg,sanketदर्द मांजताहै औरजिन्हें मांजता हैवो चमक उठते हैं.॰.
38,https://i.pinimg.com/originals/44/18/71/441871fe72be17b0da48db837cc8874a.jpg,"की तलाशहै अक्सरताकिबात हो जाए""कैसे हो तुम॰ ये बहाना बुरा तो नहीं|@seashore quotesबहानेरहतीतुमसे"
39,https://i.pinimg.com/originals/72/b6/ad/72b6ad2b62b1e088b95c3557250ebd01.jpg,ma%21|यहाँ सब...सभी को जानते हैं...ज़नाब;यहाँ कोई...खुद को नहीं जानता...^
40,https://i.pinimg.com/originals/0b/91/1b/0b911bbb65336d41b6ae2f1e13c612d2.jpg,"बस यूँही लिखते हैं, वजह क्या होगीराहत जरा सी, आदत जरा सी..."
41,https://i.pinimg.com/originals/c2/ed/0a/c2ed0aa9dfc5cf7b7067d90639ce881b.jpg,"लम्बी जुबान.""7237इन्सान को छोटा कर देती हैं...!!जनाब;PRASHANT: )"
